"","Species","Flowering","Fruit.ripening","Seed.dispersal","pdf_table_number","genus_name","Color.of.ripe.fruit","Height.of.mature.trees..m.","Year.first.cultivated","Location","Color.of.ripe.fruits","Fruit.drop","Location....altitude.","Location....elevation.","Height.at.maturity..m.","Growth.habit...maximum.height","Flower.color","Flowering.habit","Dispersal","Cone.ripening","Seed.ripening...dispersal","Origin","Color.of.ripe.fruit.","Seed.size..mm.","Diam.of.ripe.fruit..mm.","Cleaned..kg","seeds.wt..lb","Fruit...seed.ripening","Location...elevation..m.","Tree.ht..m.","Age..yrs..","Interval..yrs."
"118","","June 22-June 30","Aug 17-Sept 12",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"2,576 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","","July 2-July 8","Aug 21-Sept 26",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"2,698 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","","","",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"Northern Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","","June 5-June 10","July 15-Aug 3",NA,"2","Symphoricarpos",NA,NA,NA,NA,NA,NA,NA,"2,080 m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","T. canadensis","Apr-early June","Sept-Oct","Sept-winter","4","Tsuga",NA,NA,NA,"Southern range to northern range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","T. caroliniana","Mar-Apr","Aug-Sept","","4","Tsuga",NA,NA,NA,"North Carolina to South Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","T. heterophylla","Apr-May","Sept-Oct","Oct-May","4","Tsuga",NA,NA,NA,"Oregon to Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","","","Sept 15","Oct-June","4","Tsuga",NA,NA,NA,"S British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","","Late May-June","Sept-Oct","Oct","4","Tsuga",NA,NA,NA,"SE Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","","Mid to late Apr","","Sept-May","4","Tsuga",NA,NA,NA,"W central Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","","May 27-June 5","Aug","Sept 17-winter","4","Tsuga",NA,NA,NA,"Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","T. mertensiana","June","Late Sept-Oct","","4","Tsuga",NA,NA,NA,"Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","","June-mid-July","Late Sept-Nov","","4","Tsuga",NA,NA,NA,"British Columbia, Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","","Aug","","","4","Tsuga",NA,NA,NA,"Bitterroot Mtns, Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","S. americana","May-July","Aug-Oct","Aug-Mar","2","Sorbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","S. aucuparia","May-July","Aug-Oct","Aug- winter","2","Sorbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","S. decora","May-July","Aug-Nov","Aug-Mar","2","Sorbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","S. scopulina","May-July","July","July-Dec","2","Sorbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","S. sitchensis","June-Aug","Aug-Oct","Aug-late winter","2","Sorbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","P. occidentalis","Mar-May","Sept-Nov","Jan-Apr","2","Platanus",NA,NA,NA,"E US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","P. orientalis","May","Sept-Oct","","2","Platanus",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","P. racemosa","","June-Aug","June-Dec","2","Platanus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","R. hispida","May-June","July-Sept","","2","Robinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","R. hispida var. fertilis","Early June","Sept","Oct-Nov","2","Robinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","R. neomexicana","","Sept","Sept-Oct","2","Robinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","R. pseudoacacia","","Sept-Oct","Sept-Apr","2","Robinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","S. alaxensis","May-June","June-July","July-Aug","3","Salix",NA,NA,NA,"Alaska-Brooks Range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","","Apr-May","May","May-June","3","Salix",NA,NA,NA,"Alaska-Tanana River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","","May-June","June-July","July-Aug","3","Salix",NA,NA,NA,"Alaska-central Interior*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","S. amygdaloides","May-June","","","3","Salix",NA,NA,NA,"NE Minnesota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","S. arctica","","","","3","Salix",NA,NA,NA,"Canadian high Arctic-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","","July","Aug-Sept","","3","Salix",NA,NA,NA,"Ellesmere Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","","June-July","July-Aug","Aug-Sept","3","Salix",NA,NA,NA,"Interior Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","S. bebbiana","Apr-June","May-June","May-June","3","Salix",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","S. caroliniana","Mar-April","Mar-Apr","","3","Salix",NA,NA,NA,"North & South Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","S. discolor","May","","","3","Salix",NA,NA,NA,"N Ontario & British Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","","Mar-April","Apr-May","Apr-May","3","Salix",NA,NA,NA,"Rocky Mtns, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","S. eriocephala (as S. rigida)","Apr-June","June","June-July","3","Salix",NA,NA,NA,"NE Minnesota & N Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","S. exigua","May-July","June-July","June-July","3","Salix",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","S. fragilis","Apr-May","May-June","May-June","3","Salix",NA,NA,NA,"US & Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","S. glauca","June-July","July-Aug","Sept-Nov","3","Salix",NA,NA,NA,"Alaska-Brooks Range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","","May-June","July-Aug","Sept-Nov","3","Salix",NA,NA,NA,"Alaska-mid-boreal forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","","June-July","July-Aug","Sept-Nov","3","Salix",NA,NA,NA,"Alaska-Denali National Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","S. interior","","Aug 13","","3","Salix",NA,NA,NA,"N Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","S. lucidat","Apr-May","June-Aug","June-Aug","3","Salix",NA,NA,NA,"Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","S. nigra","Feb-April","Apr-May","Apr-May","3","Salix",NA,NA,NA,"In north",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","","May-June","June-July","June-July","3","Salix",NA,NA,NA,"In south",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","S. petiolaris","May-June","June-July","June-July","3","Salix",NA,NA,NA,"General",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","S. scouleriana","Apr-June","May-July","May-July","3","Salix",NA,NA,NA,"General",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","R. alpinum","July-Aug","Apr-May",NA,NA,NA,NA,NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","R. americanum","June-Sept","Apr-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","R. aureum","June-July","Apr-May",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","R. aureum var.villosum","Late Aug","Late May",NA,NA,NA,NA,NA,NA,"Wyoming",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","","June","Mid-Apr",NA,NA,NA,NA,NA,NA,"Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","","June-Aug","Apr-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","R. cereum","Aug","Apr-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","R. cynosbati","Late July-Sept","Apr-early June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","R. hudsonianum","","May-July",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","R. inerme","","May-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","R. lacustre","Aug","Apr-July",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","R. missouriense","June-Sept","Apr-May",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","R. montigenum","Aug-Sept","Late June-July",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","R. nevadense","","May-July",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","R. oxyacanthoides ssp. irriguum","","Apr-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","R. roezlii","","May-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","R. rotundifolium","July-Sept","Apr-May",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","R. sanguineum","July-Aug","Apr-May",NA,NA,NA,NA,NA,NA,"Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","","","Mar-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","R. viscosissimum","Aug-Sept","May-June",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","S. X persica","May-June","Late Mar-Apr",NA,"2","Syringa",NA,NA,NA,"NE US, Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","S. reticulata var. amurensis","Early June","",NA,"2","Syringa",NA,NA,NA,"North Dakota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","","June-July","Sept-Oct",NA,"2","Syringa",NA,NA,NA,"Manitoba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","S. vulgaris","Apr-June","Aug-Oct",NA,"2","Syringa",NA,NA,NA,"NE US & Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","","Late Mar-early May","",NA,"2","Syringa",NA,NA,NA,"Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","","Late Mar-mid-May*","",NA,"2","Syringa",NA,NA,NA,"W US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","C. columbiana","May-June","July-Aug",NA,"2","Clematis",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","C. drummondii","Mar-Sept","Aug-Oct",NA,"2","Clematis",NA,NA,NA,"SW US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","C. flammula","Aug-Oct","Aug-Oct",NA,"2","Clematis",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","C. ligusticifolia","Mar-Apr","May-Aug",NA,"2","Clematis",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","","Mar-Sept","Aug-Nov",NA,"2","Clematis",NA,NA,NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","","May-Aug","Oct-Dec",NA,"2","Clematis",NA,NA,NA,"Colorado & Utah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","C. pauciflora","Mar-Apr","May-July",NA,"2","Clematis",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","C. virginiana","July-Sept","July-Sept",NA,"2","Clematis",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","","June-July","Aug-Sept",NA,"2","Clematis",NA,NA,NA,"Minnesota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","C. vitalba","July-Sept","July-Sept",NA,"2","Clematis",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","","June-July","Sept-Oct",NA,"2","Clematis",NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","C. viticella","June-Aug","June-Aug",NA,"2","Clematis",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","E. camaldulensis","Feb-Apr","July-Oct","Begins 8-9 months after flowering","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"18-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","E. citriodora","Nov-Jan","May-Aug","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"24-39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","E. dalrympleana","June-Aug","Aug-Oct","Oct-Nov","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"18-36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","E. delegatensis","Apr-June","Apr-July","May-July","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"30-83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","E. fastigata","Apr-May","July-Aug","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"18-60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","E. glaucescens","July-Aug","May-Sept","Nov-Feb","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"4-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","E. globulus","Nov-Apr","Oct-Mar","Oct-Mar","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"45-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","E. grandis","Sept-Nov","","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"42-54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","E. microcorys","Dec-Feb","",".","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"30-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","E. nitens","Apr-July","May-June","May-June","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"30-90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","E. obliqua","Apr-July","May-Aug","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"15-75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","E. paniculata","Feb-May","","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"24-42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","E. pilularis","Dec-Mar","Jan-April","All year","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"36-60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","E. regnans","Apr-July","June-Sept","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"52-105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","E. robusta","Jan-Mar","","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"24-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","E. rudis","Jan-Mar","","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"9-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","E. saligna","Apr-June","Oct-Dec","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"15-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","E. sideroxylon","June-Sept","","","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","E. viminalis","All year","12 months after flowering","20-22 months after flowering","2","Eucalyptus",NA,NA,NA,NA,NA,NA,NA,NA,"15-45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","EVERGREEN","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHODODENDRONS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","R. carolinianum","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Compact shrub; to 1.8 m","Pink, mauve, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","R. catawbiense","May-June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spreading, rounded in the open; generally wider than tall to 3 m, sometimes small tree to 6 m","Magenta, pink, white, red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","R. chapmanii","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub to 1.8 m","Rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","R. macrophyllum","May-June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Open tree-like shrub; often erect to 3-9 m","Purplish rose, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","R. maximum","June-July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shrub in cultivation; to 4.6 m (sometimes to 12 m in the wild)","White, pink, purplish red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","R. minus","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.8 m","Rose, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","DECIDUOUS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHODODENDRONS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","R. alabamense","Apr-May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low stoloniferous shrub; to 0.6-2.4 m","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","R. albiflorum","June-July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Erect shrub; from 0.9-2.1 m","Creamy white, yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","R. arborescens","June-July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From low spreading bushes in open to tall and leggy in shade; up to 6 m","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","R. atlanticum","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stoloniferous shrub, forms branching sprays when well established; 0.3-1.5 m","White, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","R. austrinum","Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stiff and upright; from 3.0-3.6 m","Yellow-orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","R. calendulaceum","May-June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stiff and upright; to 3.6 m","Yellow, orange, scarlet, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
