db,genus,family,order,class,phylum,kingdom,division
ncbi,Suaeda,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Tamarix,Tamaricaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Taraxacum,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Taxodium,Cupressaceae,Cupressales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Taxus,Taxaceae,Cupressales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Terminalia,Combretaceae,Myrtales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Thalictrum,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Thymophylla,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Tilia,Malvaceae,Malvales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Trapella,Pedaliaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Trema,Cannabaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Trifolium,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Trigonella,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Tsuga,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Tulipa,Liliaceae,Liliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Turgenia,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ullucus,Basellaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Vaccinitiln,NA,NA,NA,NA,NA,NA
ncbi,Vaccinium,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Vangueria,Rubiaceae,Gentianales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Verbascum,Scrophulariaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Verbena,Verbenaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Veronicastrum,Plantaginaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Viburnum,Adoxaceae,Dipsacales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Vicia,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Viola,Violaceae,Malpighiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Vitex,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Vitis,Vitaceae,Vitales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Vulpia,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Withania,Solanaceae,Solanales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Zannichellia,Potamogetonaceae,Alismatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Zea,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ziziphus,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Zostera,Zosteraceae,Alismatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
