"db","query","kingdom","division","class","order","family","phylum"
"itis","Lilium x","Plantae","Tracheophyta","Magnoliopsida","Liliales","Liliaceae",NA
"itis","Limnanthes","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Limnanthaceae",NA
"itis","Liquidambar","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Altingiaceae",NA
"itis","Liriodendron","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae",NA
"itis","Lithocarpus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae",NA
"itis","Litsea","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae",NA
"itis","Lolium","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Lonicera","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae",NA
"itis","Loranthus","Plantae","Tracheophyta","Magnoliopsida","Santalales","Loranthaceae",NA
"itis","Lupinus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Lychnis",NA,NA,NA,NA,NA,NA
"itis","Lycium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae",NA
"itis","Lysimachia","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae",NA
"itis","Maackia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Machilus",NA,NA,NA,NA,NA,NA
"itis","Magnolia","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae",NA
"itis","Magnoliaceae","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae",NA
"itis","Malus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Malvaceae","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae",NA
"itis","Manglietia",NA,NA,NA,NA,NA,NA
"itis","Meconopsis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae",NA
"itis","Medicago","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Melicytus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae",NA
"itis","Michelia",NA,NA,NA,NA,NA,NA
"itis","Mimulus",NA,NA,NA,NA,NA,NA
"itis","Miscanthus","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Mosla","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae",NA
"itis","Mucuna","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Myagrum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Myrciaria","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae",NA
"itis","Myrica","Plantae","Tracheophyta","Magnoliopsida","Fagales","Myricaceae",NA
"itis","Nandina","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae",NA
"itis","Nepeta","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae",NA
"itis","Nicandra","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae",NA
"itis","Nothofagus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Nothofagaceae",NA
"itis","Nymphoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Menyanthaceae",NA
"itis","Oenothera","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae",NA
"itis","Olea",NA,NA,NA,NA,NA,NA
"itis","Opuntia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae",NA
"itis","Oryza","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Ottelia","Plantae","Tracheophyta","Magnoliopsida","Alismatales","Hydrocharitaceae",NA
"itis","Paeonia","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Paeoniaceae",NA
"itis","Panax","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae",NA
"itis","Panicum","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Paris",NA,NA,NA,NA,NA,NA
"itis","Parkia","Animalia",NA,"Chromadorea","Araeolaimida","Plectidae","Nematoda"
"itis","Pasania",NA,NA,NA,NA,NA,NA
"itis","Passiflora","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae",NA
"itis","Paulownia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Paulowniaceae",NA
"itis","Pedicularis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae",NA
"itis","Pennisetum",NA,NA,NA,NA,NA,NA
"itis","Penstemon","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae",NA
"itis","Penthorum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Penthoraceae",NA
